year,month,discharge
4s,2s,
2013,9,9.0
2013,10,19.6
2013,11,24.1
2013,12,21.3
2014,1,5.27
2014,2,5.19
2014,3,3.66
2014,4,4.78
2014,5,15.6
2014,6,3.36
2014,7,4.16
2014,8,12.9
2014,9,13.4
2014,10,16.7
2014,11,19.0
2014,12,12.4
2015,1,7.38
2015,2,7.71
2015,3,4.54
2015,4,4.33
2015,5,11.2
2015,6,4.84
2015,7,4.82
2015,8,8.0
2015,9,9.37
2015,10,7.68
2015,11,9.39
2015,12,7.11
2016,1,4.21
2016,2,5.0
2016,3,5.23
2016,4,7.75
2016,5,11.8
2016,6,8.68
2016,7,20.2
2016,8,11.8
2016,9,6.7
2016,10,4.94
2016,11,23.8
2016,12,10.6
2017,1,6.99
2017,2,5.34
2017,3,8.3
2017,4,15.6
2017,5,18.7
2017,6,17.3
2017,7,25.2
2017,8,9.73
2017,9,39.0
2017,10,19.5
2017,11,15.6
2017,12,9.82
2018,1,8.98
2018,2,8.68
2018,3,4.8
2018,4,8.69
2018,5,14.8
2018,6,5.18
2018,7,6.19
2018,8,17.2
2018,9,12.2
2018,10,11.7
2018,11,9.3
2018,12,9.45
2019,1,9.01
2019,2,13.4
2019,3,9.85
2019,4,2.15
2019,5,7.92
2019,6,5.15
2019,7,8.5
2019,8,5.4
2019,9,22.6
2019,10,6.6
2019,11,6.47
2019,12,7.61
2020,1,10.8
2020,2,8.66
2020,3,9.12
2020,4,17.1
2020,5,3.96
2020,6,3.27
2020,7,16.1
2020,8,9.65
2020,9,12.3
2020,10,11.1
2020,11,9.26
2020,12,4.28
2021,1,4.7
2021,2,4.61
2021,3,11.3
2021,4,4.38
2021,5,5.11
2021,6,10.9
2021,7,4.11
2021,8,10.6
2021,9,8.16
2021,10,10.8
2021,11,4.59
2021,12,8.25
2022,1,11.5
2022,2,36.2
2022,3,4.51
2022,4,4.34
2022,5,13.8
2022,6,3.87
2022,7,13.2
2022,8,11.8
2022,9,28.5
2022,10,21.6
2022,11,12.4
2022,12,4.27
2023,1,7.61
2023,2,5.23
2023,3,3.98
2023,4,14.7
2023,5,4.52
2023,6,3.18
2023,7,6.69
2023,8,13.6
2023,9,5.92
2023,10,24.5
2023,11,11.1
2023,12,10.0
2024,1,4.71
2024,2,6.93
2024,3,5.03
2024,4,9.39
2024,5,19.9
2024,6,7.24
2024,7,11.5
2024,8,15.9
2024,9,15.5
