year,month,gage_height
4s,2s,
2013,9,3.041
2013,10,3.106
2013,11,3.107
2014,1,2.955
2014,2,2.934
2014,3,2.871
2014,4,2.874
2014,5,2.996
2014,6,2.826
2014,7,2.825
2014,8,2.947
2014,9,2.973
2014,10,2.9
2014,11,3.108
2014,12,2.999
2015,1,2.958
2015,2,2.941
2015,3,2.878
2015,4,2.863
2015,5,2.932
2015,6,2.893
2015,7,2.87
2015,8,2.906
2015,9,2.893
2015,10,2.882
2015,11,2.951
2015,12,2.912
2016,1,2.86
2016,2,2.887
2016,3,2.882
2016,4,2.895
2016,5,2.959
2016,7,3.034
2016,8,3.035
2016,9,2.965
2016,10,2.918
2016,11,3.15
2016,12,2.999
2017,1,2.918
2017,2,2.865
2017,3,2.924
2017,4,3.036
2017,5,3.06
2017,6,3.063
2017,7,3.14
2017,8,3.027
2017,9,3.225
2017,10,3.157
2017,11,3.124
2017,12,3.175
2018,1,3.118
2018,2,3.136
2018,3,3.026
2018,4,3.054
2018,5,3.136
2018,6,3.002
2018,7,3.016
2018,8,3.126
2018,9,3.097
2018,10,3.144
2018,11,3.107
2018,12,3.079
2019,1,3.334
2019,2,3.724
2019,3,3.25
2019,4,2.978
2019,5,3.025
2019,6,2.963
2019,7,3.027
2019,8,2.998
2019,9,3.169
2019,10,3.036
2019,11,3.02
2019,12,3.065
2020,1,3.14
2020,2,3.085
2020,3,3.109
2020,4,3.07
2020,5,2.938
2020,6,2.897
2020,7,3.018
2020,8,3.005
2020,9,3.003
2020,10,3.002
2020,11,2.992
2020,12,2.918
2021,1,2.911
2021,2,2.919
2021,3,2.943
2021,4,2.944
2021,5,2.89
2021,6,2.986
2021,7,2.877
2021,8,2.922
2021,9,2.913
2021,10,2.945
2021,11,2.838
2021,12,2.942
2022,1,2.858
2022,2,3.161
2022,3,2.901
2022,4,2.855
2022,5,2.916
2022,6,2.872
2022,7,2.992
2022,8,2.992
2022,9,3.199
2022,10,3.133
2022,11,3.019
2022,12,2.904
2023,1,2.969
2023,2,2.915
2023,3,2.854
2023,4,2.956
2023,5,2.88
2023,7,2.89
2023,8,2.971
2023,9,2.901
2023,10,3.04
2023,11,2.983
2023,12,2.982
2024,1,2.876
2024,2,2.932
2024,3,2.871
2024,4,2.961
2024,5,3.069
2024,6,2.922
2024,7,2.918
2024,8,3.061
2024,9,3.023
