#
#
# US Geological Survey, Water Resources Data
# retrieved: 2025-05-07 02:36:08 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 50049620 QDA. MARGARITA AT CAPARRA INTER. NR GUAYNABO, PR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00065		Gage height, feet		274892	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	50049620	00065	274892	2013	9	3.041
USGS	50049620	00065	274892	2013	10	3.106
USGS	50049620	00065	274892	2013	11	3.107
USGS	50049620	00065	274892	2014	1	2.955
USGS	50049620	00065	274892	2014	2	2.934
USGS	50049620	00065	274892	2014	3	2.871
USGS	50049620	00065	274892	2014	4	2.874
USGS	50049620	00065	274892	2014	5	2.996
USGS	50049620	00065	274892	2014	6	2.826
USGS	50049620	00065	274892	2014	7	2.825
USGS	50049620	00065	274892	2014	8	2.947
USGS	50049620	00065	274892	2014	9	2.973
USGS	50049620	00065	274892	2014	10	2.9
USGS	50049620	00065	274892	2014	11	3.108
USGS	50049620	00065	274892	2014	12	2.999
USGS	50049620	00065	274892	2015	1	2.958
USGS	50049620	00065	274892	2015	2	2.941
USGS	50049620	00065	274892	2015	3	2.878
USGS	50049620	00065	274892	2015	4	2.863
USGS	50049620	00065	274892	2015	5	2.932
USGS	50049620	00065	274892	2015	6	2.893
USGS	50049620	00065	274892	2015	7	2.87
USGS	50049620	00065	274892	2015	8	2.906
USGS	50049620	00065	274892	2015	9	2.893
USGS	50049620	00065	274892	2015	10	2.882
USGS	50049620	00065	274892	2015	11	2.951
USGS	50049620	00065	274892	2015	12	2.912
USGS	50049620	00065	274892	2016	1	2.86
USGS	50049620	00065	274892	2016	2	2.887
USGS	50049620	00065	274892	2016	3	2.882
USGS	50049620	00065	274892	2016	4	2.895
USGS	50049620	00065	274892	2016	5	2.959
USGS	50049620	00065	274892	2016	7	3.034
USGS	50049620	00065	274892	2016	8	3.035
USGS	50049620	00065	274892	2016	9	2.965
USGS	50049620	00065	274892	2016	10	2.918
USGS	50049620	00065	274892	2016	11	3.15
USGS	50049620	00065	274892	2016	12	2.999
USGS	50049620	00065	274892	2017	1	2.918
USGS	50049620	00065	274892	2017	2	2.865
USGS	50049620	00065	274892	2017	3	2.924
USGS	50049620	00065	274892	2017	4	3.036
USGS	50049620	00065	274892	2017	5	3.06
USGS	50049620	00065	274892	2017	6	3.063
USGS	50049620	00065	274892	2017	7	3.14
USGS	50049620	00065	274892	2017	8	3.027
USGS	50049620	00065	274892	2017	9	3.225
USGS	50049620	00065	274892	2017	10	3.157
USGS	50049620	00065	274892	2017	11	3.124
USGS	50049620	00065	274892	2017	12	3.175
USGS	50049620	00065	274892	2018	1	3.118
USGS	50049620	00065	274892	2018	2	3.136
USGS	50049620	00065	274892	2018	3	3.026
USGS	50049620	00065	274892	2018	4	3.054
USGS	50049620	00065	274892	2018	5	3.136
USGS	50049620	00065	274892	2018	6	3.002
USGS	50049620	00065	274892	2018	7	3.016
USGS	50049620	00065	274892	2018	8	3.126
USGS	50049620	00065	274892	2018	9	3.097
USGS	50049620	00065	274892	2018	10	3.144
USGS	50049620	00065	274892	2018	11	3.107
USGS	50049620	00065	274892	2018	12	3.079
USGS	50049620	00065	274892	2019	1	3.334
USGS	50049620	00065	274892	2019	2	3.724
USGS	50049620	00065	274892	2019	3	3.25
USGS	50049620	00065	274892	2019	4	2.978
USGS	50049620	00065	274892	2019	5	3.025
USGS	50049620	00065	274892	2019	6	2.963
USGS	50049620	00065	274892	2019	7	3.027
USGS	50049620	00065	274892	2019	8	2.998
USGS	50049620	00065	274892	2019	9	3.169
USGS	50049620	00065	274892	2019	10	3.036
USGS	50049620	00065	274892	2019	11	3.02
USGS	50049620	00065	274892	2019	12	3.065
USGS	50049620	00065	274892	2020	1	3.14
USGS	50049620	00065	274892	2020	2	3.085
USGS	50049620	00065	274892	2020	3	3.109
USGS	50049620	00065	274892	2020	4	3.07
USGS	50049620	00065	274892	2020	5	2.938
USGS	50049620	00065	274892	2020	6	2.897
USGS	50049620	00065	274892	2020	7	3.018
USGS	50049620	00065	274892	2020	8	3.005
USGS	50049620	00065	274892	2020	9	3.003
USGS	50049620	00065	274892	2020	10	3.002
USGS	50049620	00065	274892	2020	11	2.992
USGS	50049620	00065	274892	2020	12	2.918
USGS	50049620	00065	274892	2021	1	2.911
USGS	50049620	00065	274892	2021	2	2.919
USGS	50049620	00065	274892	2021	3	2.943
USGS	50049620	00065	274892	2021	4	2.944
USGS	50049620	00065	274892	2021	5	2.89
USGS	50049620	00065	274892	2021	6	2.986
USGS	50049620	00065	274892	2021	7	2.877
USGS	50049620	00065	274892	2021	8	2.922
USGS	50049620	00065	274892	2021	9	2.913
USGS	50049620	00065	274892	2021	10	2.945
USGS	50049620	00065	274892	2021	11	2.838
USGS	50049620	00065	274892	2021	12	2.942
USGS	50049620	00065	274892	2022	1	2.858
USGS	50049620	00065	274892	2022	2	3.161
USGS	50049620	00065	274892	2022	3	2.901
USGS	50049620	00065	274892	2022	4	2.855
USGS	50049620	00065	274892	2022	5	2.916
USGS	50049620	00065	274892	2022	6	2.872
USGS	50049620	00065	274892	2022	7	2.992
USGS	50049620	00065	274892	2022	8	2.992
USGS	50049620	00065	274892	2022	9	3.199
USGS	50049620	00065	274892	2022	10	3.133
USGS	50049620	00065	274892	2022	11	3.019
USGS	50049620	00065	274892	2022	12	2.904
USGS	50049620	00065	274892	2023	1	2.969
USGS	50049620	00065	274892	2023	2	2.915
USGS	50049620	00065	274892	2023	3	2.854
USGS	50049620	00065	274892	2023	4	2.956
USGS	50049620	00065	274892	2023	5	2.88
USGS	50049620	00065	274892	2023	7	2.89
