#
#
# US Geological Survey, Water Resources Data
# retrieved: 2025-04-29 22:22:57 EDT      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 50049620 QDA. MARGARITA AT CAPARRA INTER. NR GUAYNABO, PR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		123531	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	50049620	00060	123531	2013	9	9
USGS	50049620	00060	123531	2013	10	19.6
USGS	50049620	00060	123531	2013	11	24.1
USGS	50049620	00060	123531	2013	12	21.3
USGS	50049620	00060	123531	2014	1	5.27
USGS	50049620	00060	123531	2014	2	5.19
USGS	50049620	00060	123531	2014	3	3.66
USGS	50049620	00060	123531	2014	4	4.78
USGS	50049620	00060	123531	2014	5	15.6
USGS	50049620	00060	123531	2014	6	3.36
USGS	50049620	00060	123531	2014	7	4.16
USGS	50049620	00060	123531	2014	8	12.9
USGS	50049620	00060	123531	2014	9	13.4
USGS	50049620	00060	123531	2014	10	16.7
USGS	50049620	00060	123531	2014	11	19
USGS	50049620	00060	123531	2014	12	12.4
USGS	50049620	00060	123531	2015	1	7.38
USGS	50049620	00060	123531	2015	2	7.71
USGS	50049620	00060	123531	2015	3	4.54
USGS	50049620	00060	123531	2015	4	4.33
USGS	50049620	00060	123531	2015	5	11.2
USGS	50049620	00060	123531	2015	6	4.84
USGS	50049620	00060	123531	2015	7	4.82
USGS	50049620	00060	123531	2015	8	8
USGS	50049620	00060	123531	2015	9	9.37
USGS	50049620	00060	123531	2015	10	7.68
USGS	50049620	00060	123531	2015	11	9.39
USGS	50049620	00060	123531	2015	12	7.11
USGS	50049620	00060	123531	2016	1	4.21
USGS	50049620	00060	123531	2016	2	5
USGS	50049620	00060	123531	2016	3	5.23
USGS	50049620	00060	123531	2016	4	7.75
USGS	50049620	00060	123531	2016	5	11.8
USGS	50049620	00060	123531	2016	6	8.68
USGS	50049620	00060	123531	2016	7	20.2
USGS	50049620	00060	123531	2016	8	11.8
USGS	50049620	00060	123531	2016	9	6.7
USGS	50049620	00060	123531	2016	10	4.94
USGS	50049620	00060	123531	2016	11	23.8
USGS	50049620	00060	123531	2016	12	10.6
USGS	50049620	00060	123531	2017	1	6.99
USGS	50049620	00060	123531	2017	2	5.34
USGS	50049620	00060	123531	2017	3	8.3
USGS	50049620	00060	123531	2017	4	15.6
USGS	50049620	00060	123531	2017	5	18.7
USGS	50049620	00060	123531	2017	6	17.3
USGS	50049620	00060	123531	2017	7	25.2
USGS	50049620	00060	123531	2017	8	9.73
USGS	50049620	00060	123531	2017	9	39
USGS	50049620	00060	123531	2017	10	19.5
USGS	50049620	00060	123531	2017	11	15.6
USGS	50049620	00060	123531	2017	12	9.82
USGS	50049620	00060	123531	2018	1	8.98
USGS	50049620	00060	123531	2018	2	8.68
USGS	50049620	00060	123531	2018	3	4.8
USGS	50049620	00060	123531	2018	4	8.69
USGS	50049620	00060	123531	2018	5	14.8
USGS	50049620	00060	123531	2018	6	5.18
USGS	50049620	00060	123531	2018	7	6.19
USGS	50049620	00060	123531	2018	8	17.2
USGS	50049620	00060	123531	2018	9	12.2
USGS	50049620	00060	123531	2018	10	11.7
USGS	50049620	00060	123531	2018	11	9.3
USGS	50049620	00060	123531	2018	12	9.45
USGS	50049620	00060	123531	2019	1	9.01
USGS	50049620	00060	123531	2019	2	13.4
USGS	50049620	00060	123531	2019	3	9.85
USGS	50049620	00060	123531	2019	4	2.15
USGS	50049620	00060	123531	2019	5	7.92
USGS	50049620	00060	123531	2019	6	5.15
USGS	50049620	00060	123531	2019	7	8.5
USGS	50049620	00060	123531	2019	8	5.4
USGS	50049620	00060	123531	2019	9	22.6
USGS	50049620	00060	123531	2019	10	6.6
USGS	50049620	00060	123531	2019	11	6.47
USGS	50049620	00060	123531	2019	12	7.61
USGS	50049620	00060	123531	2020	1	10.8
USGS	50049620	00060	123531	2020	2	8.66
USGS	50049620	00060	123531	2020	3	9.12
USGS	50049620	00060	123531	2020	4	17.1
USGS	50049620	00060	123531	2020	5	3.96
